iter	Passed	Remaining
0	155	155064
1	166	83272
2	182	60696
3	198	49480
4	207	41196
5	219	36295
6	236	33524
7	249	30906
8	271	29915
9	286	28349
10	299	26895
11	318	26254
12	338	25675
13	358	25261
14	372	24455
15	388	23901
16	417	24134
17	439	23977
18	457	23614
19	476	23366
20	498	23230
21	517	23025
22	536	22787
23	552	22476
24	566	22093
25	582	21830
26	592	21354
27	601	20886
28	614	20578
29	634	20501
30	644	20139
31	655	19817
32	679	19899
33	693	19691
34	720	19860
35	739	19800
36	752	19583
37	768	19466
38	793	19554
39	812	19508
40	825	19304
41	843	19237
42	851	18941
43	859	18677
44	867	18416
45	875	18158
46	893	18115
47	912	18096
48	931	18074
49	939	17859
50	947	17637
51	955	17427
52	969	17314
53	987	17296
54	999	17172
55	1012	17059
56	1020	16881
57	1028	16705
58	1040	16601
59	1057	16567
60	1068	16443
61	1076	16293
62	1090	16215
63	1107	16190
64	1123	16166
65	1140	16134
66	1172	16322
67	1184	16234
68	1203	16239
69	1220	16219
70	1237	16186
71	1264	16300
72	1294	16443
73	1328	16620
74	1341	16546
75	1361	16549
76	1397	16757
77	1415	16728
78	1429	16670
79	1469	16900
80	1481	16807
81	1499	16783
82	1513	16716
83	1522	16605
84	1532	16497
85	1554	16523
86	1576	16543
87	1594	16525
88	1604	16425
89	1617	16351
90	1641	16393
91	1659	16382
92	1669	16286
93	1680	16201
94	1691	16114
95	1704	16053
96	1727	16084
97	1754	16151
98	1770	16111
99	1787	16090
100	1799	16016
101	1816	15995
102	1832	15960
103	1845	15896
104	1858	15840
105	1883	15888
106	1898	15844
107	1913	15807
108	1933	15807
109	1952	15796
110	1967	15758
111	1991	15788
112	2004	15732
113	2026	15749
114	2045	15739
115	2057	15676
116	2066	15595
117	2074	15505
118	2085	15441
119	2105	15437
120	2114	15363
121	2126	15305
122	2145	15295
123	2161	15268
124	2173	15216
125	2182	15137
126	2193	15075
127	2201	15000
128	2218	14977
129	2250	15058
130	2265	15029
131	2290	15060
132	2300	14997
133	2307	14913
134	2318	14854
135	2333	14826
136	2345	14776
137	2354	14704
138	2369	14675
139	2378	14613
140	2392	14575
141	2404	14527
142	2420	14505
143	2431	14456
144	2442	14402
145	2459	14386
146	2470	14337
147	2478	14265
148	2491	14232
149	2508	14216
150	2524	14196
151	2534	14138
152	2545	14089
153	2563	14083
154	2575	14038
155	2587	13997
156	2603	13977
157	2619	13960
158	2639	13959
159	2647	13899
160	2658	13855
161	2678	13853
162	2699	13862
163	2709	13814
164	2718	13758
165	2727	13705
166	2737	13653
167	2750	13623
168	2765	13598
169	2782	13587
170	2799	13571
171	2818	13568
172	2831	13537
173	2850	13531
174	2862	13496
175	2877	13470
176	2898	13476
177	2924	13504
178	2934	13459
179	2942	13406
180	2978	13477
181	2991	13444
182	3008	13430
183	3037	13468
184	3046	13422
185	3056	13378
186	3066	13330
187	3075	13282
188	3083	13232
189	3101	13223
190	3128	13251
191	3145	13237
192	3154	13191
193	3175	13193
194	3184	13146
195	3193	13101
196	3206	13072
197	3233	13097
198	3252	13089
199	3262	13049
200	3281	13044
201	3295	13019
202	3319	13032
203	3329	12992
204	3350	12993
205	3358	12945
206	3367	12901
207	3388	12901
208	3408	12898
209	3435	12923
210	3451	12907
211	3480	12935
212	3495	12916
213	3513	12903
214	3554	12978
215	3576	12980
216	3589	12951
217	3602	12922
218	3616	12896
219	3633	12881
220	3650	12865
221	3666	12849
222	3700	12894
223	3724	12902
224	3738	12876
225	3753	12853
226	3764	12820
227	3775	12784
228	3796	12781
229	3804	12737
230	3812	12693
231	3826	12668
232	3847	12665
233	3866	12657
234	3882	12638
235	3896	12614
236	3928	12647
237	3937	12606
238	3960	12611
239	3973	12583
240	3983	12544
241	4005	12546
242	4026	12542
243	4035	12504
244	4043	12462
245	4072	12482
246	4084	12451
247	4102	12439
248	4110	12396
249	4120	12361
250	4139	12353
251	4148	12313
252	4157	12276
253	4179	12274
254	4190	12241
255	4212	12241
256	4221	12205
257	4242	12201
258	4251	12164
259	4258	12121
260	4270	12092
261	4288	12078
262	4307	12069
263	4317	12036
264	4329	12007
265	4346	11994
266	4358	11964
267	4382	11968
268	4400	11959
269	4420	11951
270	4428	11913
271	4436	11872
272	4449	11848
273	4462	11823
274	4471	11789
275	4481	11755
276	4501	11748
277	4515	11728
278	4529	11705
279	4545	11688
280	4557	11660
281	4573	11645
282	4582	11610
283	4594	11583
284	4611	11569
285	4620	11535
286	4637	11520
287	4648	11491
288	4656	11456
289	4670	11434
290	4685	11416
291	4694	11381
292	4706	11356
293	4721	11337
294	4729	11301
295	4736	11266
296	4749	11241
297	4763	11220
298	4770	11184
299	4779	11152
300	4789	11122
301	4804	11104
302	4819	11085
303	4830	11059
304	4863	11082
305	4892	11095
306	4913	11091
307	4944	11107
308	4963	11100
309	4984	11093
310	5003	11085
311	5021	11072
312	5036	11055
313	5045	11022
314	5053	10990
315	5062	10957
316	5084	10953
317	5099	10935
318	5114	10919
319	5125	10891
320	5134	10860
321	5148	10841
322	5156	10807
323	5164	10775
324	5176	10751
325	5191	10734
326	5204	10711
327	5221	10697
328	5231	10668
329	5240	10640
330	5252	10616
331	5267	10597
332	5279	10575
333	5298	10564
334	5309	10539
335	5321	10517
336	5337	10501
337	5346	10470
338	5355	10442
339	5376	10437
340	5386	10410
341	5404	10397
342	5416	10375
343	5423	10342
344	5432	10313
345	5440	10284
346	5448	10253
